,Artist,Url_spotify,Track,Album,Album_type,Uri,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Url_youtube,Title,Video Release Date,Channel,Views,Likes,Comments,Licensed,official_video,Stream
312,Baby Rasta,https://open.spotify.com/artist/0GgyFUpOyzWDRDqx8FCTDN,Ella Se Contradice (feat. Plan B),Ella Se Contradice (feat. Plan B),single,spotify:track:4nNeRNXmdZWfw3IjAnITZR,0.767,0.758,4,-8.116,0.295,0.111,0,0.376,0.84,76.498,256757,https://www.youtube.com/watch?v=NMEwl8a9hJE,Baby Rasta & Gringo ft Plan B(Ella Se Contradice).HD,16/5/22,blinblinMx,3256,55,2,FALSE,FALSE,58858159
313,Baby Rasta,https://open.spotify.com/artist/0GgyFUpOyzWDRDqx8FCTDN,Nunca Me Amo,Nunca Me Amo,single,spotify:track:6jCF6MQ050engg73RJnN87,0.813,0.787,8,-4.098,0.177,0.216,0,0.0594,0.45,130.065,199642,https://www.youtube.com/watch?v=CJjvg7PbE4w,Jon Z x Baby Rasta x Boy Wonder CF - Nunca Me Amó [Official Video],4/5/22,Chosen Few,281422072,1618701,24990,TRUE,TRUE,80367853
314,Baby Rasta,https://open.spotify.com/artist/0GgyFUpOyzWDRDqx8FCTDN,Soltero,Soltero,single,spotify:track:3ZKYB8pSyE2zWiUBMh1pGE,0.816,0.551,11,-3.77,0.101,0.353,0,0.145,0.391,137.99,302602,https://www.youtube.com/watch?v=IeBhnDz8xUY,Jon Z ❌ Baby Rasta ❌ Bryant Myers ❌ Cosculluela ❌ Boy Wonder CF - Soltero [Official Video],24/8/22,Chosen Few,86879213,703605,14291,TRUE,TRUE,19869313
315,Baby Rasta,https://open.spotify.com/artist/0GgyFUpOyzWDRDqx8FCTDN,Tengo una Punto 40,Playero 40 New Era,compilation,spotify:track:5zsatbvXqrPSx6vid6c8Sf,0.762,0.912,11,-6.689,0.166,0.0527,4.08E-06,0.11,0.44,108.271,157067,https://www.youtube.com/watch?v=rhctf92wgqU,PUNTO 40 AÑO 2077 - Rauw Alejandro x Baby Rasta (Official Video),15/9/22,Rauw Alejandro,107079777,733623,13310,TRUE,TRUE,4789805
316,Baby Rasta,https://open.spotify.com/artist/0GgyFUpOyzWDRDqx8FCTDN,Voodoo,Voodoo,single,spotify:track:14JDSPQn4rXNer9PgeRioa,0.532,0.721,11,-4.453,0.082,0.535,0,0.621,0.469,138.872,309997,https://www.youtube.com/watch?v=solfErpqlvY,"Jon Z, Baby Rasta - Voodoo (Video Oficial)",28/5/22,JonZVEVO,13011401,207540,4521,TRUE,TRUE,4600225
317,Baby Rasta,https://open.spotify.com/artist/0GgyFUpOyzWDRDqx8FCTDN,Llamala,Llamala,single,spotify:track:7fsNxXZTWNgRuhAsNOsNNZ,0.815,0.695,1,-7.869,0.379,0.0795,0,0.679,0.531,173.882,213042,https://www.youtube.com/watch?v=HyVsn4JOtSM,Kendo Kaponi Feat Baby Rasta - Llamala (Official Video),29/7/22,KendoKaponiTV,61747603,339223,10344,FALSE,FALSE,257583
318,Shania Twain,https://open.spotify.com/artist/5e4Dhzv426EvQe3aDb64jL,Giddy Up!,Giddy Up!,single,spotify:track:4NdJlsPyvXz15LySCNoL2W,0.779,0.692,3,-3.59,0.0598,0.0024,0,0.482,0.67,103.99,162665,https://www.youtube.com/watch?v=-6BGu-GyKWQ,Shania Twain - Giddy Up! (Official Dance Video),15/9/22,ShaniaTwainVEVO,1561043,20905,1702,TRUE,TRUE,7511869
319,Shania Twain,https://open.spotify.com/artist/5e4Dhzv426EvQe3aDb64jL,From This Moment On - Pop On-Tour Version,Greatest Hits,compilation,spotify:track:0vswnzoKvhNkT1ehc0Tt19,0.46,0.505,9,-5.487,0.0266,0.42,0,0.134,0.22,135.757,235107,https://www.youtube.com/watch?v=X-oVi3G3tp8,From This Moment On (Pop On-Tour Version),10/9/22,Shania Twain - Topic,2629831,30669,65,TRUE,TRUE,84623227
320,Shania Twain,https://open.spotify.com/artist/5e4Dhzv426EvQe3aDb64jL,Waking Up Dreaming,Waking Up Dreaming,single,spotify:track:5cc1GqkadgfMlLszRXqdhM,0.567,0.737,1,-3.642,0.118,0.0264,0,0.0894,0.543,91.827,198802,https://www.youtube.com/watch?v=wQcfv9zxLXI,Shania Twain - Waking Up Dreaming (Official Music Video),29/4/22,ShaniaTwainVEVO,2652459,32670,3850,TRUE,TRUE,6605677
321,Shania Twain,https://open.spotify.com/artist/5e4Dhzv426EvQe3aDb64jL,hole in the bottle (with Shania Twain),hole in the bottle (with Shania Twain),single,spotify:track:2bV4NwncWMnVvcWyU2yxwB,0.565,0.837,4,-4.607,0.119,0.106,0,0.37,0.775,105.067,156276,https://www.youtube.com/watch?v=RuFoTayOR6E,Kelsea Ballerini - hole in the bottle (with Shania Twain) [Official Audio],15/9/22,KelseaBalleriniVEVO,1491411,15024,359,TRUE,TRUE,31316786
